group_size,bad_bandwidth_proportion,bad_magnitude,algorithm,synthesis_time_ps
40,0.2,5,random,19541249980
40,0.2,5,greedy,19541249980
40,0.2,5,multiple_5,19541249980
40,0.2,50,random,24446593725
40,0.2,50,greedy,21495374978
40,0.2,50,multiple_5,20538499988
40,0.3,10,random,21495374978
40,0.3,10,greedy,21691687478
40,0.3,10,multiple_5,21496218750
40,0.3,25,random,22472437477
40,0.3,25,greedy,22591124977
40,0.3,25,multiple_5,20519624989
40,0.3,5,random,20714124979
40,0.3,5,greedy,21495374978
40,0.3,5,multiple_5,20520312480
40,0.3,50,random,22472437477
40,0.3,50,greedy,22492468727
40,0.3,50,multiple_5,20538499988
40,0.4,10,random,22570593727
40,0.4,10,greedy,23743968726
40,0.4,10,multiple_5,21496218750
40,0.4,25,random,21495374978
40,0.4,25,greedy,21534937478
40,0.4,25,multiple_5,20598749989
40,0.4,5,random,23645312476
40,0.4,5,greedy,22472437477
40,0.4,5,multiple_5,21497374979
40,0.4,50,random,22572593727
40,0.4,50,greedy,22532531227
40,0.4,50,multiple_5,21515562487
48,0.1,10,random,23449499976
48,0.1,10,greedy,23449499976
48,0.1,10,multiple_5,23449499976
48,0.1,25,random,25403624974
48,0.1,25,greedy,24426562475
48,0.1,25,multiple_5,24427874985
48,0.1,5,random,25403624974
48,0.1,5,greedy,24426562475
48,0.1,5,multiple_5,24428562476
48,0.1,50,random,23449499976
48,0.1,50,greedy,23449499976
48,0.1,50,multiple_5,23449499976
48,0.2,10,random,24524718725
48,0.2,10,greedy,26478843723
48,0.2,10,multiple_5,23548499998
48,0.2,25,random,25443187474
48,0.2,25,greedy,26420249973
48,0.2,25,multiple_5,24427874985
48,0.2,5,random,24426562475
48,0.2,5,greedy,24622374975
48,0.2,5,multiple_5,24428562476
48,0.2,50,random,24466624975
48,0.2,50,greedy,26380687473
48,0.2,50,multiple_5,24426718734
48,0.3,10,random,26478843723
48,0.3,10,greedy,28334812471
48,0.3,10,multiple_5,24427406247
48,0.3,25,random,27357749972
48,0.3,25,greedy,28493062471
48,0.3,25,multiple_5,25404937484
48,0.3,5,random,26772312473
48,0.3,5,greedy,26380687473
48,0.3,5,multiple_5,25405624975
48,0.3,50,random,25463718724
48,0.3,50,greedy,26380687473
48,0.3,50,multiple_5,25423812483
48,0.4,10,random,27554062472
48,0.4,10,greedy,27554062472
48,0.4,10,multiple_5,25502624996
48,0.4,25,random,25522312474
48,0.4,25,greedy,26420249973
48,0.4,25,multiple_5,25404937484
48,0.4,5,random,26576499973
48,0.4,5,greedy,25403624974
48,0.4,5,multiple_5,26382687474
48,0.4,50,random,26400718723
48,0.4,50,greedy,26420749973
48,0.4,50,multiple_5,25423812483
8,0.1,10,random,3908249996
8,0.1,10,greedy,3908249996
8,0.1,10,multiple_5,3908249996
8,0.1,25,random,3908249996
8,0.1,25,greedy,3908249996
8,0.1,25,multiple_5,3908249996
8,0.1,5,random,3908249996
8,0.1,5,greedy,3908249996
8,0.1,5,multiple_5,3908249996
8,0.1,50,random,3908249996
8,0.1,50,greedy,3908249996
8,0.1,50,multiple_5,3908249996
8,0.2,10,random,3908249996
8,0.2,10,greedy,3908249996
8,0.2,10,multiple_5,3908249996
8,0.2,25,random,3908249996
8,0.2,25,greedy,3908249996
8,0.2,25,multiple_5,3908249996
8,0.2,5,random,3908249996
8,0.2,5,greedy,3908249996
8,0.2,5,multiple_5,3908249996
8,0.2,50,random,3908249996
8,0.2,50,greedy,3908249996
8,0.2,50,multiple_5,3908249996
8,0.3,10,random,3908249996
8,0.3,10,greedy,3908249996
8,0.3,10,multiple_5,3908249996
8,0.3,25,random,4885312495
8,0.3,25,greedy,3908249996
8,0.3,25,multiple_5,3908249996
8,0.3,5,random,3908249996
8,0.3,5,greedy,3908249996
8,0.3,5,multiple_5,3908249996
8,0.3,50,random,3908249996
8,0.3,50,greedy,3908249996
8,0.3,50,multiple_5,3912718747
8,0.4,10,random,3908249996
8,0.4,10,greedy,3908249996
8,0.4,10,multiple_5,3908249996
8,0.4,25,random,3908249996
8,0.4,25,greedy,3947812496
8,0.4,25,multiple_5,3916687500
8,0.4,5,random,4885312495
8,0.4,5,greedy,3908249996
8,0.4,5,multiple_5,3910249997
8,0.4,50,random,5862374994
8,0.4,50,greedy,4885312495
8,0.4,50,multiple_5,3912718747
